FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
126/01/01,126,JELEBU,01,CHENNAH,01,KAMPONG SUNGAI BULOH,663
126/01/02,126,JELEBU,01,CHENNAH,02,DURIAN TIPUS,603
126/01/03,126,JELEBU,01,CHENNAH,03,SIMPANG DURIAN,1461
126/01/04,126,JELEBU,01,CHENNAH,04,KAMPONG CHENNAH,1107
126/01/05,126,JELEBU,01,CHENNAH,05,PEKAN TITI,3436
126/01/06,126,JELEBU,01,CHENNAH,06,SUNGAI MUNTOH,1272
126/01/07,126,JELEBU,01,CHENNAH,07,KAMPONG SEPERI,285
126/01/08,126,JELEBU,01,CHENNAH,08,PETALING,1842
126/01/09,126,JELEBU,01,CHENNAH,09,KAMPONG GAGU,380
126/02/01,126,JELEBU,02,PERTANG,01,JERANG,508
126/02/02,126,JELEBU,02,PERTANG,02,KAMPONG LAKAI,952
126/02/03,126,JELEBU,02,PERTANG,03,PASOH 4,1348
126/02/04,126,JELEBU,02,PERTANG,04,PASOH 1,1972
126/02/05,126,JELEBU,02,PERTANG,05,SIMPANG PERTANG,2032
126/02/06,126,JELEBU,02,PERTANG,06,KAMPONG PETASEH,758
126/02/07,126,JELEBU,02,PERTANG,07,PERTANG,1389
126/02/08,126,JELEBU,02,PERTANG,08,KAMPONG GELANG,735
126/03/01,126,JELEBU,03,SUNGAI LUI,01,SUNGAI LUI,961
126/03/02,126,JELEBU,03,SUNGAI LUI,02,LUI TIMUR,2012
126/03/03,126,JELEBU,03,SUNGAI LUI,03,LUI MUDA,882
126/03/04,126,JELEBU,03,SUNGAI LUI,04,LUI SELATAN,1922
126/03/05,126,JELEBU,03,SUNGAI LUI,05,PULAPOL AYER HITAM,2185
126/03/06,126,JELEBU,03,SUNGAI LUI,06,LADANG AYER HITAM,305
126/03/07,126,JELEBU,03,SUNGAI LUI,07,KAMPONG BAHRU AYER HITAM,1618
126/03/08,126,JELEBU,03,SUNGAI LUI,08,LUI BARAT,807
126/03/09,126,JELEBU,03,SUNGAI LUI,09,PASOH 3,2107
126/03/10,126,JELEBU,03,SUNGAI LUI,10,PASOH 2,1608
126/03/11,126,JELEBU,03,SUNGAI LUI,11,KAMPUNG SERAMPANG INDAH,1177
126/04/01,126,JELEBU,04,KLAWANG,01,PERADONG,837
126/04/02,126,JELEBU,04,KLAWANG,02,LADANG JELEBU,2344
126/04/03,126,JELEBU,04,KLAWANG,03,KAMPONG KAMPAI,710
126/04/04,126,JELEBU,04,KLAWANG,04,KAMPUNG KUALA KLAWANG,2144
126/04/05,126,JELEBU,04,KLAWANG,05,PEKAN KUALA KLAWANG,1687
126/04/06,126,JELEBU,04,KLAWANG,06,KAMPONG KEMIN,1014
126/04/07,126,JELEBU,04,KLAWANG,07,KAMPUNG AMAR PENGHULU,656
127/05/01,127,JEMPOL,05,SERTING,01,SERTING ULU,809
127/05/02,127,JEMPOL,05,SERTING,02,KAMPONG SERTING TENGAH,1035
127/05/03,127,JEMPOL,05,SERTING,03,KAMPUNG SERTING ILIR,1967
127/05/04,127,JEMPOL,05,SERTING,04,LUBOK GADONG,240
127/05/05,127,JEMPOL,05,SERTING,05,MAHSAN JAYA,2062
127/05/06,127,JEMPOL,05,SERTING,06,FELDA RAJA ALIAS,3993
127/05/07,127,JEMPOL,05,SERTING,07,BANDAR BARU SERTING ILIR,4100
127/05/08,127,JEMPOL,05,SERTING,08,KAMPONG GEDDES,250
127/05/09,127,JEMPOL,05,SERTING,09,KAMPONG GEDDES TENGAH,1617
127/05/10,127,JEMPOL,05,SERTING,10,LADANG SUNGAI SEBALING,208
127/05/11,127,JEMPOL,05,SERTING,11,BANDAR SERI JEMPOL,3622
127/06/01,127,JEMPOL,06,PALONG,01,"PALONG 14,15 & 16",1044
127/06/02,127,JEMPOL,06,PALONG,02,PALONG 8,2742
127/06/03,127,JEMPOL,06,PALONG,03,PALONG 12 & 13,1340
127/06/04,127,JEMPOL,06,PALONG,04,PALONG 7,2349
127/06/05,127,JEMPOL,06,PALONG,05,"PALONG 9,10 & 11",2401
127/06/06,127,JEMPOL,06,PALONG,06,PALONG 6,1671
127/06/07,127,JEMPOL,06,PALONG,07,PALONG 5,1818
127/07/01,127,JEMPOL,07,JERAM PADANG,01,LADANG BAHAU,480
127/07/02,127,JEMPOL,07,JERAM PADANG,02,TAMAN JAYA,2153
127/07/03,127,JEMPOL,07,JERAM PADANG,03,BUKIT ROKAN BARAT,902
127/07/04,127,JEMPOL,07,JERAM PADANG,04,JERAM PADANG,744
127/07/05,127,JEMPOL,07,JERAM PADANG,05,LADANG MIDDLETON,606
127/07/06,127,JEMPOL,07,JERAM PADANG,06,LADANG KELPIN,343
127/07/07,127,JEMPOL,07,JERAM PADANG,07,LADANG BUKIT PILAH,285
127/07/08,127,JEMPOL,07,JERAM PADANG,08,ROMPIN,2209
127/07/09,127,JEMPOL,07,JERAM PADANG,09,PALONG 2,2014
127/07/10,127,JEMPOL,07,JERAM PADANG,10,PALONG 1,1667
127/07/11,127,JEMPOL,07,JERAM PADANG,11,PALONG 4,1684
127/07/12,127,JEMPOL,07,JERAM PADANG,12,PALONG 3,1772
127/08/01,127,JEMPOL,08,BAHAU,01,KAMPONG BUKIT PERAH,335
